id,created_at,es_emprendedor,genero,rango_etario,comuna,tipo_emprendimiento,tiempo_funcionamiento,forma_contabilidad,problemas_sii,tuvo_multas,tiempo_contabilidad,problemas_inventario,frecuencia_mermas,satisfaccion_gestion,orden_informacion,probabilidad_uso_plataforma,funciones_deseadas,disposicion_pago,principal_complicacion,mejoras_herramientas
"7f27553b-1c5c-438d-8c29-8e987161d9f1","2026-05-29T03:06:51.463018+00:00","Sí, tengo un emprendimiento propio","Masculino","35 a 44 años","Viña del mar","Gastronomía o alimentos","Entre 3 y 5 años","La llevo yo mismo/a","Nunca","No","Menos de 1 hora","Rara vez","Nunca","3","3","4","[""Control de inventario"",""Recordatorios de pagos o vencimientos"",""Otro""]","No pagaría","Saber mis ingresos y cuánto gasto en insumos","un registro previo y total del inventario "
"dc7a2797-6e65-46ad-a80c-282845456a9a","2026-05-28T16:33:51.951941+00:00","Sí, tengo un emprendimiento propio","Masculino","35 a 44 años","Valparaiso ","Gastronomía o alimentos","Entre 1 y 3 años","La llevo yo mismo/a","Rara vez","No","Menos de 1 hora","No aplica a mi negocio","Nunca","5","4","5","[""Reportes financieros simples"",""Cálculo de utilidades"",""Alertas de obligaciones tributarias"",""Control de inventario"",""Recordatorios de pagos o vencimientos"",""Apoyo para declarar impuestos"",""Registro automático de ingresos y gastos"",""Integración con boletas o facturas"",""Gestión de ventas""]","Entre $10.000 y $20.000","no tener claro el inventario ","Sistema centralizado "
"8a0be18d-512e-4a01-92ef-0f1a180e2680","2026-05-28T14:48:09.447525+00:00","Sí, tengo un emprendimiento propio","Femenino","Menos de 18 años","San Pedro de la paz ","Gastronomía o alimentos","Menos de 6 meses","La llevo yo mismo/a","Nunca","No","Menos de 1 hora","Frecuentemente","No aplica a mi negocio","4","5","5","[""Reportes financieros simples"",""Cálculo de utilidades"",""Alertas de obligaciones tributarias"",""Control de inventario"",""Recordatorios de pagos o vencimientos"",""Apoyo para declarar impuestos"",""Registro automático de ingresos y gastos"",""Integración con boletas o facturas"",""Gestión de ventas""]","Entre $20.001 y $40.000","no tener claro el inventario ","un registro previo y total del inventario "
"8308dcad-d481-43b9-bfe1-052978929685","2026-05-28T11:42:12.110426+00:00","Sí, tengo un emprendimiento propio","Masculino","25 a 34 años","Viña del mar","Servicios profesionales","Menos de 6 meses","La llevo yo mismo/a","Nunca","No","No llevo yo la contabilidad","Nunca","No aplica a mi negocio","5","2","5","[""Reportes financieros simples"",""Cálculo de utilidades"",""Alertas de obligaciones tributarias"",""Control de inventario"",""Recordatorios de pagos o vencimientos"",""Apoyo para declarar impuestos"",""Registro automático de ingresos y gastos"",""Gestión de ventas"",""Otro""]","Menos de $10.000","Problemas de stock por múltiples bodegas ","Un sistema que controle todo y me
De rendimiento al final de cada mes "
"3e85bdaa-1bcb-4ec8-ab82-198015851d18","2026-05-28T05:24:04.213706+00:00","Sí, tengo un emprendimiento propio","Masculino","18 a 24 años","Viña del Mar","Venta de productos físicos","Entre 3 y 5 años","La llevo yo mismo/a","Rara vez","No","Más de 5 horas","Rara vez","Nunca","5","2","4","[""Cálculo de utilidades"",""Control de inventario"",""Recordatorios de pagos o vencimientos"",""Apoyo para declarar impuestos"",""Integración con boletas o facturas"",""Gestión de ventas""]","Menos de $10.000","control de mi flota en la calle ","Digitalización de productos 
Stock e inventarios 
Métricas "
"631ea3ae-a94d-4c67-a41f-74517451dcef","2026-05-28T05:22:26.764015+00:00","Sí, tengo un emprendimiento propio","Masculino","45 a 54 años","Villa alemana ","Servicios profesionales","Entre 3 y 5 años","La llevo yo mismo/a","Nunca","No","Menos de 1 hora","No aplica a mi negocio","A veces","3","5","5","[""Reportes financieros simples"",""Control de inventario"",""Apoyo para declarar impuestos"",""Registro automático de ingresos y gastos""]","No pagaría","Las redes sociales, la publicidad ","Nose"
"df444919-26d3-4b6f-9926-fea314ed2e6e","2026-05-28T00:46:52.575723+00:00","Sí, tengo un emprendimiento propio","Femenino","35 a 44 años","valparaiso ","Servicios profesionales","Más de 5 años","La llevo yo mismo/a","Rara vez","No","Menos de 1 hora","No aplica a mi negocio","Rara vez","5","4","4","[""Integración con boletas o facturas"",""Gestión de ventas"",""Recordatorios de pagos o vencimientos"",""Control de inventario""]","No pagaría","Proceso manual y tedioso","Quizás más una herramienta de divulgación de información/publicidad, y algún sistema para recompensar a mis clientes habituales y antiguos "
"fa64c521-19a8-4739-a7b8-0664beb0c488","2026-05-27T22:07:23.87355+00:00","Sí, tengo un emprendimiento propio","Femenino","35 a 44 años","Valparaiso ","Servicios profesionales","Más de 5 años","La llevo yo mismo/a","Nunca","Sí","Menos de 1 hora","Frecuentemente","No aplica a mi negocio","4","4","2","[""Apoyo para declarar impuestos""]","Entre $20.001 y $40.000","El sistema actual del SII, poco intuitivo. ","gps"
"3426d9b6-6709-4b8d-ae80-f17e9644ca22","2026-05-27T21:31:18.103338+00:00","No, pero estoy iniciando uno","Femenino","18 a 24 años","Viña del mar","Venta de productos físicos","Menos de 6 meses","La llevo yo mismo/a","Rara vez","No","Entre 1 y 3 horas","A veces","Rara vez","3","2","4","[""Cálculo de utilidades"",""Control de inventario"",""Recordatorios de pagos o vencimientos"",""Registro automático de ingresos y gastos"",""Integración con boletas o facturas"",""Gestión de ventas""]","Entre $20.001 y $40.000","No lo necesito","Sistema centralizado "
"6cecc3ab-64bc-4d04-b6a1-d143de82f591","2026-05-27T19:20:11.146167+00:00","Sí, tengo un emprendimiento propio","Masculino","35 a 44 años","Viña del Mar ","Gastronomía o alimentos","Entre 6 meses y 1 año","La llevo yo mismo/a","Nunca","No","Entre 1 y 3 horas","Rara vez","No aplica a mi negocio","3","1","5","[""Registro automático de ingresos y gastos""]","Entre $10.000 y $20.000","Nose","gps"
